sample_id,fold,fusion_model,spearman,jaccard_top5pct,jaccard_top50,entropy_image_only,entropy_fusion,n_tiles
708,1,intermediate_fusion,0.34990486953536276,0.5294117647058824,0.2345679012345679,5.323528,5.419135,256
740,1,intermediate_fusion,0.15694023231860837,0.3,0.25,5.4145384,5.4673605,256
712,1,intermediate_fusion,0.46887803273060186,0.4444444444444444,0.35135135135135137,5.2937007,5.396942,256
895,1,intermediate_fusion,0.6213621538109406,0.4444444444444444,0.2345679012345679,5.0845184,5.351849,256
953,1,intermediate_fusion,0.5961990730144197,0.4444444444444444,0.3698630136986301,5.4442787,5.4297442,256
745,1,intermediate_fusion,0.7956132696269168,0.4444444444444444,0.5151515151515151,5.39645,5.3305993,256
746,1,intermediate_fusion,0.5924846932936598,0.625,0.3888888888888889,5.469601,5.4627833,256
747,1,intermediate_fusion,0.7108470187685969,0.625,0.6129032258064516,5.255615,5.0407543,256
748,1,intermediate_fusion,0.8604693579766537,0.4444444444444444,0.7857142857142857,4.9599786,4.5378246,256
884,1,intermediate_fusion,0.5748927100022888,0.3684210526315789,0.5625,5.432213,5.4017954,256
772,1,intermediate_fusion,0.8431312943465323,0.5294117647058824,0.7543859649122807,5.3489923,5.28225,256
773,1,intermediate_fusion,0.1419389448386358,0.3,0.26582278481012656,5.408938,5.477056,256
774,1,intermediate_fusion,0.8640378233005263,0.18181818181818182,0.42857142857142855,5.4155397,5.517682,256
885,1,intermediate_fusion,0.690597104600595,0.3684210526315789,0.4925373134328358,5.4072323,5.4157248,256
886,1,intermediate_fusion,0.665291685740444,0.23809523809523808,0.4925373134328358,5.422764,5.4152036,256
775,1,intermediate_fusion,0.9083886472877086,0.625,0.9230769230769231,4.9661856,5.0360994,256
776,1,intermediate_fusion,0.6842827306019683,0.625,0.3698630136986301,5.4982758,5.5113864,256
777,1,intermediate_fusion,0.7265764476997023,0.625,0.6949152542372882,5.266096,5.3494067,256
842,1,intermediate_fusion,0.7513461318379491,0.625,0.4925373134328358,5.2746515,5.264064,256
843,1,intermediate_fusion,0.8641300926985579,0.7333333333333333,0.5873015873015873,5.27504,5.2216525,256
868,1,intermediate_fusion,0.6528310254062712,0.625,0.2987012987012987,5.2100773,5.327547,256
869,1,intermediate_fusion,0.5266250858319981,0.13043478260869565,0.17647058823529413,5.422579,5.4391255,256
874,1,intermediate_fusion,0.7149233234149689,0.7333333333333333,0.5151515151515151,5.1937428,5.29236,256
875,1,intermediate_fusion,0.6531657701991301,0.13043478260869565,0.4084507042253521,5.4764414,5.453128,256
906,1,intermediate_fusion,0.7081619077592125,0.7333333333333333,0.6129032258064516,5.256068,5.106732,256
907,1,intermediate_fusion,0.42142295147631026,0.3684210526315789,0.35135135135135137,5.4744506,5.4872236,256
910,1,intermediate_fusion,0.5016544117647058,0.3684210526315789,0.4084507042253521,5.4184294,5.4835305,256
912,1,intermediate_fusion,0.6606445983062484,0.5294117647058824,0.4925373134328358,5.402178,5.244917,256
913,1,intermediate_fusion,0.4590316720073242,0.3684210526315789,0.28205128205128205,5.465973,5.479993,256
914,1,intermediate_fusion,0.6768096246280612,0.625,0.5873015873015873,5.378381,5.3172836,256
933,1,intermediate_fusion,0.7807629034103913,0.5294117647058824,0.5151515151515151,5.2878127,5.3038325,256
934,1,intermediate_fusion,0.764612897688258,0.625,0.6129032258064516,5.306125,5.3124294,256
935,1,intermediate_fusion,0.8830324444953076,0.4444444444444444,0.7857142857142857,5.0818415,4.8682647,256
